,id,name,symbol,slug,infinite_supply,circulating_supply,total_supply,max_supply,date_added,num_market_pairs,cmc_rank,last_updated,tvl_ratio,platform,self_reported_circulating_supply,self_reported_market_cap,minted_market_cap,tags,quote.USD.price,quote.USD.volume_24h,quote.USD.cex_volume_24h,quote.USD.dex_volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.slug,platform.name,platform.symbol,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,FALSE,20035543,20035543,21000000,2010-07-13T00:00:00.000Z,12647,1,2026-05-28T09:03:00.000Z,,,,,1.46675E+12,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing', 'sec-cftc-token-taxonomy', 'sec-cftc-digital-commodities']",73207.34469,42529437999,42496904960,32533039.11,17.743,-0.03033382,-3.21507414,-5.93845474,-4.67698573,9.76278295,7.81329184,1.46675E+12,59.7453,1.53735E+12,,2026-05-28T09:03:00.000Z,,,,,,35:26.8
1,1027,Ethereum,ETH,ethereum,TRUE,120685415.3,120685415.3,,2015-08-07T00:00:00.000Z,12007,2,2026-05-28T09:03:00.000Z,,,,,2.39727E+11,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'ethereum-pow-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', 'sora-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing', 'abstract-chain-ecosystem', 'unichain-ecosystem', 'soneium-ecosystem', 'sophon-ecosystem', 'sec-cftc-token-taxonomy', 'sec-cftc-digital-commodities']",1986.376699,18647518406,18500340154,147178251.7,19.5478,-0.05857931,-4.35552519,-6.98277617,-13.08683239,-0.84467739,-2.32418755,2.39727E+11,9.7648,2.39727E+11,,2026-05-28T09:03:00.000Z,,,,,,35:26.8
2,825,Tether USDt,USDT,tether,TRUE,1.89583E+11,1.9319E+11,,2015-02-25T00:00:00.000Z,183340,3,2026-05-28T09:03:00.000Z,,,,,1.92852E+11,"['stablecoin', 'asset-backed-stablecoin', 'usd-stablecoin', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'rsk-rbtc-ecosystem', 'venom-ecosystem', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing', 'peaq-ecosystem', 'apertum-ecosystem', 'etherlink-ecosystem', 'duckchain-ecosystem', 'onus-ecosystem', 'sophon-ecosystem', 'zedxion-smart-chain-ecosystem', 'xlayer-ecosystem']",0.99825333,89470232577,87653243027,1816989549,10.0313,0.0041908,-0.02668352,-0.07594068,-0.16733332,-0.09138778,-0.18772189,1.89252E+11,7.7088,1.92852E+11,,2026-05-28T09:03:00.000Z,1027,ethereum,Ethereum,ETH,0xdac17f958d2ee523a2206206994597c13d831ec7,35:26.8
3,1839,BNB,BNB,bnb,FALSE,134784730.9,134784730.9,134784730.9,2017-07-25T00:00:00.000Z,3257,4,2026-05-28T09:04:00.000Z,,,,,85434856554,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate', 'binance-ecosystem', 'binance-listing', 'etherlink-ecosystem', 'made-in-china']",633.8615358,1347367966,1321398979,25968986.78,-16.2833,0.04698798,-2.82090682,-3.12577107,1.56869856,3.29846826,0.87918351,85434856554,3.48,85434856554,,2026-05-28T09:04:00.000Z,,,,,,35:26.8
4,52,XRP,XRP,xrp,FALSE,61908311628,99985659492,1E+11,2013-08-04T00:00:00.000Z,1837,5,2026-05-28T09:04:00.000Z,,,,,1.28747E+11,"['medium-of-exchange', 'enterprise-solutions', 'xrp-ecosystem', 'solana-ecosystem', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'klaytn-ecosystem', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing', 'iso-20022', 'sec-cftc-token-taxonomy', 'sec-cftc-digital-commodities']",1.287655428,2442191794,2440791765,1400028.119,41.7879,-0.15667708,-3.29063648,-6.61918668,-7.46787231,-3.67036986,-9.44942571,79716573509,3.2471,1.28766E+11,,2026-05-28T09:04:00.000Z,,,,,,35:26.8
5,3408,USDC,USDC,usd-coin,FALSE,76372895373,76372895373,,2018-10-08T00:00:00.000Z,39905,6,2026-05-28T09:03:00.000Z,,,60901219650,60873571170,76338222923,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'stellar-ecosystem', 'coinbase-ventures-portfolio', 'usd-stablecoin', 'xdc-ecosystem', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'venom-ecosystem', 'made-in-america', 'world-liberty-financial-portfolio', 'sonic-ecosystem', 'binance-ecosystem', 'binance-listing', 'hyperevm-ecosystem', 'etherlink-ecosystem', 'unichain-ecosystem', 'vector-smart-chain-ecosystem', 'sophon-ecosystem', 'monad-ecosystem', 'xlayer-ecosystem']",0.999546011,14944064366,11917539909,3026524458,-5.2453,0.00513023,-0.00903979,-0.02563109,-0.03915508,-0.02193242,-0.03399548,76338222923,3.1095,76338222923,,2026-05-28T09:03:00.000Z,1027,ethereum,Ethereum,ETH,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,35:26.8
6,5426,Solana,SOL,solana,TRUE,578343210.3,627267729.1,,2020-04-10T00:00:00.000Z,1137,7,2026-05-28T09:03:00.000Z,,,525236893.3,42479633082,50731590480,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'alleged-sec-securities', 'cmc-crypto-awards-2024', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing', 'sec-cftc-token-taxonomy', 'sec-cftc-digital-commodities', 'coinlist-launchpad']",80.87709303,3941193676,3941188736,4939.742859,13.5687,-0.23249431,-3.47111904,-6.83106843,-3.56426127,-1.86869967,-7.65752025,46774717621,1.9053,50731590480,,2026-05-28T09:03:00.000Z,,,,,,35:26.8
7,1958,TRON,TRX,tron,TRUE,94811825253,94811824847,,2017-09-13T00:00:00.000Z,1347,8,2026-05-28T09:04:00.000Z,,,94667886298,33907769735,33959325076,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'alleged-sec-securities', '2017-2018-alt-season', 'tron20-ecosystem', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing', 'made-in-china']",0.358176052,982889323.1,982593281.2,296041.8541,8.9748,-0.39889842,-4.06584117,-0.37305633,10.80119248,12.1655537,25.51910128,33959325222,1.3832,33959325076,,2026-05-28T09:04:00.000Z,,,,,,35:26.8
8,74,Dogecoin,DOGE,dogecoin,TRUE,1.54423E+11,1.54423E+11,,2013-12-15T00:00:00.000Z,1447,9,2026-05-28T09:03:00.000Z,,,,,15154582736,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'doge-chain-ecosystem', 'osmosis-ecosystem', 'ftx-bankruptcy-estate', 'animal-memes', 'made-in-america', 'binance-ecosystem', 'binance-listing', 'sec-cftc-token-taxonomy', 'sec-cftc-digital-commodities']",0.098136775,1001775185,1001031519,743665.8628,25.5258,-0.36751327,-3.73274435,-7.13712484,-1.54477875,7.76008454,-0.23814625,15154582736,0.6173,15154582736,,2026-05-28T09:03:00.000Z,,,,,,35:26.8
9,32196,Hyperliquid,HYPE,hyperliquid,FALSE,253938474.8,954594190,961671487.9,2024-07-15T10:14:50.000Z,267,10,2026-05-28T09:04:00.000Z,,,333931719,18964872280,54213948130,"['decentralized-exchange-dex-token', 'defi', 'derivatives', 'layer-1', 'hyperliquid-ecosystem', 'binance-ecosystem', 'binance-listing', 'perpetuals']",56.79266509,898603946.1,738338707,160265239.1,-12.8137,-1.80864985,-8.51997107,-2.88267415,40.26236472,42.56260663,93.27686225,14421842755,0.5874,54615886737,,2026-05-28T09:04:00.000Z,32196,hyperliquid,Hyperliquid,HYPE,0x0d01dc56dcaaca66ad901c959b4011ec,35:26.8
